Sr No,Reservation ID,Lot Address,Spot ID,Status,Entry Time,Exit Time
1,1,Gadauliya,3,Released,2025-07-26 18:54:00,2025-07-28 00:22:00
2,2,"Anna Nagar, Chennai",16,Released,2025-07-26 18:59:00,2025-07-28 00:27:00
3,4,ABC mall underground lot,36,Released,2025-07-27 03:04:00,2025-07-27 07:04:00
4,5,ABC mall underground lot,36,Released,2025-07-27 19:54:00,2025-07-27 19:59:00
5,6,Gadauliya,1,Released,2025-07-29 20:41:00,2025-07-29 20:45:00
6,7,Gadauliya,1,Released,2025-07-29 20:59:00,2025-07-29 21:02:00
7,8,Gadauliya,1,Released,2025-07-30 03:50:00,2025-07-30 16:17:54
8,9,"Anna Nagar, Chennai",16,Released,2025-07-30 16:36:00,2025-07-30 16:46:00
9,10,Gadauliya,1,Released,2025-07-30 17:07:00,2025-07-30 17:16:00
10,11,ABC mall underground lot,36,Released,2025-07-30 17:19:00,2025-07-30 17:26:00
11,12,Gadauliya,1,Released,2025-07-30 17:38:00,2025-07-30 17:46:00
12,13,Gadauliya,1,Released,2025-07-30 17:59:00,2025-07-30 18:08:00
13,14,Gadauliya,1,Released,2025-07-30 18:32:00,2025-07-30 18:44:00
14,15,Gadauliya,1,Released,2025-07-30 18:48:00,2025-07-30 18:49:00
15,16,"Anna Nagar, Chennai",16,Released,2025-07-30 18:52:00,2025-07-30 18:55:00
16,17,Gadauliya,1,Released,2025-07-30 18:57:00,2025-07-30 19:01:00
17,18,"Anna Nagar, Chennai",16,Released,2025-07-30 19:03:00,2025-07-30 19:05:00
18,19,ABC mall underground lot,36,Released,2025-07-30 19:03:00,2025-07-30 19:07:00
19,20,Near Kotwali ,62,Released,2025-07-30 20:49:00,2025-07-30 21:05:00
20,21,Gadauliya,1,Released,2025-07-30 20:52:00,2025-07-30 20:59:48
21,22,"Anna Nagar, Chennai",16,Released,2025-07-30 21:02:00,2025-07-30 21:10:00
22,23,"Anna Nagar, Chennai",16,Released,2025-07-30 23:35:00,2025-07-30 23:37:00
23,24,"Anna Nagar, Chennai",16,Booked,2025-07-31 01:30:00,2025-07-31 03:52:00
